study_hours,assignments_pending,exam_pressure,academic_performance,sleep_hours,exercise_days_per_week,social_interactions_per_week,screen_time_hours,anxiety_level,financial_stress,family_support,peer_pressure,extracurricular_activities,relationship_issues,stress_score,stress_level
6.5,11,6,7,4.3,3,9,9.8,7,7,6,6,0,0,100.0,3
13.4,6,4,2,6.2,7,14,9.8,5,3,2,10,0,2,100.0,3
10.8,2,9,6,9.3,6,15,13.7,2,1,7,5,2,1,64.6,2
9.2,6,6,1,3.4,3,16,10.3,1,5,2,6,1,1,91.1,3
3.9,11,4,7,9.0,2,18,7.4,7,1,3,7,0,1,86.8,3
3.9,13,3,9,5.4,6,10,12.1,1,6,9,9,2,0,64.7,2
2.7,7,4,5,9.3,1,15,2.4,3,7,4,7,0,0,79.4,3
12.4,9,3,5,9.6,6,4,6.8,6,5,5,4,0,1,86.4,3
9.2,5,2,4,7.7,3,4,4.7,6,4,9,10,2,1,68.1,2
10.5,14,5,3,7.7,3,13,2.4,7,2,7,5,2,1,95.9,3
2.2,9,2,9,6.2,4,17,10.9,1,5,8,6,0,1,39.3,1
13.6,8,6,5,8.8,7,7,7.6,7,9,3,9,0,2,100.0,3
12.0,12,3,8,9.7,0,4,8.2,2,4,4,5,1,1,79.4,3
4.5,5,6,9,8.4,6,6,6.3,6,2,7,5,1,0,48.4,1
4.2,11,10,5,7.4,3,15,7.0,8,6,4,7,2,0,100.0,3
4.2,8,9,10,7.2,5,13,2.5,5,8,2,2,0,0,82.1,3
5.7,12,1,9,8.9,1,4,9.7,10,2,10,3,2,0,57.5,2
8.3,3,6,2,6.8,5,8,6.6,3,9,6,2,2,0,58.0,2
7.2,7,9,9,8.6,2,3,11.6,8,7,9,10,0,1,100.0,3
5.5,10,4,4,6.6,6,3,3.6,8,2,2,10,1,1,96.7,3
9.3,3,2,6,3.4,4,15,3.7,4,5,1,2,2,2,59.3,2
3.7,1,4,6,5.7,1,16,9.4,8,5,8,3,2,2,74.5,2
5.5,9,1,6,6.1,4,14,12.0,5,7,1,6,0,2,87.6,3
6.4,10,3,2,4.0,0,3,7.1,5,5,1,5,1,1,100.0,3
7.5,8,10,7,3.7,3,5,10.5,3,6,3,5,1,2,100.0,3
11.4,4,9,6,6.7,7,15,14.0,7,9,5,2,0,1,100.0,3
4.4,3,10,1,3.6,1,3,13.9,9,3,9,2,2,0,100.0,3
8.2,1,5,2,5.1,2,5,10.7,9,3,10,1,0,1,76.6,3
9.1,0,6,7,8.2,7,4,10.6,1,8,2,3,0,1,67.7,2
2.6,10,3,1,9.8,6,15,4.2,1,10,1,7,1,0,78.0,3
9.3,6,5,1,8.0,0,15,11.8,10,6,1,5,2,0,100.0,3
4.0,5,8,1,9.9,0,9,6.3,5,10,8,7,2,0,100.0,3
2.8,14,6,8,7.9,4,8,13.5,1,3,10,9,1,2,73.9,2
13.4,14,4,4,5.1,0,3,2.1,4,2,10,6,2,2,98.6,3
13.6,1,2,4,7.7,1,13,6.7,1,2,10,2,2,2,23.5,0
11.7,7,9,2,7.9,4,3,8.2,2,2,2,1,0,0,98.4,3
5.7,10,1,1,5.6,7,11,6.3,2,5,9,1,0,2,38.7,1
3.2,3,1,10,3.1,0,9,3.7,4,5,9,10,0,0,58.3,2
10.2,7,4,9,7.9,6,3,8.7,8,1,2,9,2,0,78.0,3
7.3,14,7,7,3.2,7,17,10.8,2,2,3,6,2,0,88.5,3
3.5,6,1,4,7.4,2,12,9.4,9,2,2,6,2,2,85.5,3
7.9,4,9,6,4.1,6,12,4.0,9,4,6,4,2,2,100.0,3
2.4,9,4,2,7.0,5,13,10.5,2,7,7,2,1,0,58.3,2
12.9,9,3,7,6.5,1,17,4.3,1,3,6,10,1,2,75.6,3
5.1,11,1,2,3.1,2,0,3.3,10,5,3,3,2,1,100.0,3
10.0,7,10,10,5.5,2,15,10.0,10,9,3,3,0,2,100.0,3
5.7,13,4,8,7.2,4,14,12.0,9,5,2,8,0,0,100.0,3
8.2,8,9,8,8.9,3,4,7.3,2,9,2,6,1,0,86.2,3
8.6,4,10,1,9.2,4,5,7.9,8,1,5,7,1,0,100.0,3
4.2,9,6,8,6.4,1,5,4.9,3,9,8,9,2,1,85.6,3
13.6,4,6,2,8.1,1,2,7.4,1,5,6,1,2,0,85.6,3
11.3,1,1,6,5.2,4,15,2.7,1,8,9,2,2,0,12.6,0
13.3,4,10,1,5.4,3,11,13.4,10,5,5,9,2,2,100.0,3
12.7,2,2,5,4.4,6,3,11.4,2,6,10,5,2,1,65.6,2
9.2,6,6,7,6.9,4,0,9.7,7,8,4,4,0,2,100.0,3
13.1,9,2,10,5.2,1,3,8.0,6,2,9,1,0,0,68.5,2
3.1,4,3,1,3.6,3,0,11.3,2,3,10,9,2,0,77.0,3
4.4,7,4,2,7.8,1,7,7.4,4,9,5,9,0,1,95.4,3
2.5,0,5,7,8.0,3,4,4.9,2,5,1,4,2,0,52.4,1
5.9,2,9,6,5.5,3,1,3.1,1,5,5,9,2,1,80.6,3
6.7,2,4,3,3.5,7,11,9.4,3,9,5,10,1,2,86.1,3
5.3,8,9,10,6.0,4,16,13.1,4,10,5,1,0,1,98.7,3
11.9,4,10,2,6.1,4,6,3.0,10,3,2,5,0,2,100.0,3
6.3,11,3,10,7.7,4,10,3.3,5,4,6,1,1,0,40.0,1
5.4,8,8,4,5.2,3,3,6.6,5,7,5,4,0,2,100.0,3
8.5,12,1,3,7.8,3,4,11.5,7,2,2,5,1,2,96.0,3
3.7,8,9,7,9.1,1,5,4.8,10,8,10,3,0,2,100.0,3
11.6,0,9,8,4.7,2,10,4.3,8,5,8,2,2,1,82.7,3
2.9,1,10,2,9.9,4,0,9.1,9,1,6,6,1,2,100.0,3
13.8,4,2,10,5.7,7,9,8.0,7,3,10,3,2,1,40.1,1
11.3,3,4,7,4.9,5,19,1.8,5,9,3,10,2,1,93.2,3
4.4,14,8,8,6.0,1,10,2.1,9,5,9,1,0,1,99.2,3
2.1,9,7,6,3.7,1,16,9.4,8,8,4,5,1,0,100.0,3
11.8,8,1,6,3.9,0,7,7.0,10,1,3,2,2,0,90.5,3
10.5,6,5,10,5.9,4,12,13.6,9,7,7,2,2,0,94.7,3
10.7,5,7,1,8.3,6,19,9.8,10,7,8,4,1,1,100.0,3
11.3,6,4,4,9.3,1,17,1.1,8,8,7,4,0,0,96.8,3
2.9,0,1,1,7.7,0,15,7.3,6,3,1,4,2,2,63.5,2
6.3,0,9,4,3.7,5,1,6.4,4,1,1,7,0,1,100.0,3
3.4,7,5,2,7.7,7,4,2.4,9,9,5,1,1,0,85.5,3
12.4,12,2,5,7.4,5,17,13.0,9,1,8,8,0,1,93.5,3
9.5,12,8,10,8.6,6,2,11.5,10,6,10,10,1,0,100.0,3
6.0,1,2,9,8.8,4,16,4.0,10,9,3,9,0,2,82.0,3
2.8,11,3,10,9.1,3,15,4.3,9,2,8,10,0,1,77.5,3
5.7,9,10,3,5.9,0,5,1.4,10,4,3,6,2,0,100.0,3
5.9,10,1,8,7.9,3,18,4.9,3,2,4,4,0,0,31.0,1
10.8,8,2,3,4.9,5,6,8.6,3,4,10,6,2,2,65.7,2
9.7,6,7,6,10.0,5,17,6.5,6,2,7,10,1,2,95.5,3
12.6,5,10,4,4.2,2,13,13.6,6,1,3,7,1,0,100.0,3
7.7,0,2,8,3.1,2,5,1.7,6,3,4,6,2,0,45.0,1
3.4,0,6,6,4.0,7,7,8.7,5,8,8,1,0,1,53.2,1
10.6,1,3,8,8.4,6,14,12.2,5,5,4,5,1,1,53.4,1
11.1,5,4,1,6.1,2,14,7.2,2,4,9,8,1,0,65.3,2
8.7,13,8,6,6.1,2,14,1.0,7,5,4,8,1,2,100.0,3
11.3,5,3,1,9.7,6,15,4.2,4,6,4,10,2,1,77.3,3
7.9,1,10,1,9.4,1,0,5.2,3,6,5,9,1,0,100.0,3
8.3,0,6,8,5.2,2,10,13.6,8,5,1,4,1,2,100.0,3
7.1,9,1,7,4.5,1,4,12.9,4,6,7,10,1,2,97.4,3
2.3,4,7,3,8.9,1,4,13.3,4,9,9,6,1,0,100.0,3
3.3,4,8,6,9.3,4,5,11.7,8,5,9,7,2,0,96.6,3
2.4,1,8,9,6.8,1,1,5.6,1,6,1,5,2,1,72.4,2
9.6,5,3,7,7.4,1,5,12.8,9,4,6,8,0,0,92.7,3
5.8,8,10,3,4.8,2,13,13.8,7,3,3,3,1,1,100.0,3
8.1,1,1,6,8.6,1,10,5.6,2,6,4,8,2,2,42.6,1
12.9,9,9,4,7.4,3,3,4.4,6,5,8,5,0,1,100.0,3
5.0,1,6,3,6.5,6,8,8.1,8,4,4,1,0,0,68.6,2
6.9,2,9,9,3.4,2,2,3.4,5,5,8,6,1,1,85.6,3
11.1,12,7,10,9.4,6,15,1.4,6,7,4,2,0,2,100.0,3
4.7,6,1,2,7.3,0,10,13.3,10,1,9,7,2,2,84.8,3
2.9,5,1,1,4.3,2,3,13.0,8,1,6,9,0,0,97.0,3
5.5,11,6,2,7.2,1,0,3.1,6,1,1,3,0,1,100.0,3
3.9,7,5,7,7.7,3,15,6.3,9,2,10,10,2,0,69.3,2
13.2,14,9,10,6.7,6,18,11.8,9,9,2,4,0,0,100.0,3
11.7,7,2,1,8.0,2,15,9.6,9,5,7,4,0,2,100.0,3
9.6,5,8,6,7.1,3,10,6.1,6,9,10,4,0,1,85.9,3
12.5,11,5,7,9.6,6,7,10.7,9,5,7,3,0,0,100.0,3
11.6,10,2,9,3.4,0,0,12.7,3,7,3,5,1,2,100.0,3
4.2,9,10,8,3.7,5,8,13.0,5,6,1,9,1,0,100.0,3
12.7,2,6,6,4.2,7,11,5.9,2,2,8,8,2,1,58.6,2
8.5,2,10,3,7.8,7,7,3.3,8,3,10,10,0,0,92.4,3
11.7,14,8,8,7.5,0,16,12.9,4,5,10,2,2,1,100.0,3
12.8,0,4,7,9.2,5,9,2.2,6,4,7,9,1,2,63.0,2
5.8,6,2,3,8.1,4,6,10.4,6,6,10,10,0,2,86.6,3
3.3,4,5,9,6.6,5,18,2.8,5,8,8,2,0,0,46.6,1
4.7,3,2,2,9.9,4,5,6.1,1,8,1,7,1,2,62.0,2
7.1,9,2,3,4.9,2,18,6.4,7,3,3,5,0,0,89.3,3
11.8,14,6,2,8.8,4,17,3.1,10,4,2,7,0,0,100.0,3
12.3,3,10,1,6.0,7,14,13.0,8,1,1,5,1,1,100.0,3
2.1,13,9,4,7.5,7,1,1.0,1,2,5,6,2,0,76.5,3
8.1,3,4,5,8.1,3,13,12.6,10,9,3,8,2,1,100.0,3
7.0,5,6,6,7.4,4,9,12.5,7,10,10,1,0,0,87.1,3
4.7,14,7,5,4.0,3,15,5.1,4,10,8,1,1,1,96.2,3
3.4,7,6,1,6.1,7,6,10.2,6,2,6,5,2,2,93.6,3
6.1,7,8,3,6.9,6,7,4.3,9,6,10,1,2,0,83.6,3
13.3,4,4,1,8.9,6,9,10.9,5,7,9,3,0,1,92.6,3
5.9,14,1,5,6.1,5,14,8.3,8,6,9,10,2,0,88.1,3
8.2,5,7,5,9.4,5,7,4.9,5,8,6,9,1,1,86.0,3
10.4,3,3,6,6.1,5,12,6.2,2,9,2,7,2,1,65.3,2
6.4,11,6,8,6.8,4,11,10.0,4,8,9,6,1,0,79.0,3
13.7,13,2,10,8.6,5,7,12.8,2,5,2,8,1,0,83.1,3
13.5,10,9,1,7.1,4,14,2.7,7,8,3,8,0,2,100.0,3
5.0,12,1,4,9.7,4,11,8.4,7,10,6,6,2,2,96.8,3
8.0,8,6,10,7.6,1,10,4.3,3,10,2,4,0,2,91.3,3
5.6,7,6,1,6.7,1,18,11.4,7,9,5,4,2,0,100.0,3
5.4,9,5,9,3.2,4,13,1.9,1,8,2,4,0,2,81.8,3
2.4,11,5,7,5.9,6,17,10.0,1,2,4,6,0,1,72.5,2
9.3,9,1,7,5.1,3,12,3.3,9,2,3,1,0,0,59.7,2
8.0,0,10,5,8.2,7,3,8.8,6,3,5,2,2,1,76.2,3
2.6,14,5,7,4.5,7,16,11.9,5,7,6,6,0,1,100.0,3
5.3,1,2,2,4.4,2,18,10.8,6,9,7,1,1,1,60.3,2
12.9,8,7,4,4.3,0,8,10.8,6,8,10,9,2,0,100.0,3
4.9,7,3,7,3.9,1,6,7.7,1,9,8,6,1,0,63.3,2
3.7,13,4,3,5.2,4,0,12.6,5,6,9,7,0,2,100.0,3
7.9,2,3,2,9.2,0,6,8.6,9,1,4,1,0,2,72.3,2
13.8,7,3,10,8.4,1,6,12.9,4,4,4,8,1,2,100.0,3
4.9,11,4,2,8.1,2,19,8.1,3,6,7,5,0,2,84.7,3
10.1,0,5,1,8.6,7,6,7.6,1,6,10,5,2,1,35.0,1
11.1,9,1,5,4.9,3,7,3.9,2,8,10,6,1,0,53.8,1
4.9,3,4,6,9.2,4,15,8.1,3,1,9,7,2,2,31.5,1
10.7,2,8,6,4.0,2,2,2.8,4,2,2,7,2,1,100.0,3
6.4,5,10,9,5.4,7,12,12.3,7,2,6,5,2,0,90.6,3
9.6,6,7,4,7.1,6,9,9.8,6,6,10,1,0,0,71.5,2
